**** The Simulator log: stage 4
0.0,OOP_Ex0_Elevator_Simulator
0.0,Simulated Building, ex0.simulator.Builging_A [-3,20]
0) ex0.simulator.Elevator_A, Elev_0, speed: 1.0, open/close: 2.0,  start/stop: 3.0
1) ex0.simulator.Elevator_A, Elev_1, speed: 1.5, open/close: 2.0,  start/stop: 3.0
2) ex0.simulator.Elevator_A, Elev_2, speed: 2.0, open/close: 2.0,  start/stop: 3.0
3) ex0.simulator.Elevator_A, Elev_3, speed: 1.0, open/close: 2.0,  start/stop: 3.0
0.0,Simulated Period starTime,0.0,  endTime,3600.0,  dt,1.0
0.0,Simulated  calls,Elevetor log, size: 500
0.0,**** Simulation starts!! ****
156.0, elevID,8,  pos,0,  cmd, goto,0
156.0, elevID,9,  pos,-2,  cmd, goto,-2
156.0, elevID,10,  pos,-1,  cmd, goto,-1
157.0, elevID,8,  pos,0,  cmd, goto,0
157.0, elevID,9,  pos,-2,  cmd, goto,-2
157.0, elevID,10,  pos,-1,  cmd, goto,-1
158.0, elevID,8,  pos,0,  cmd, goto,0
158.0, elevID,9,  pos,-2,  cmd, goto,-2
158.0, elevID,10,  pos,-1,  cmd, goto,-1
159.0, elevID,8,  pos,0,  cmd, goto,0
159.0, elevID,9,  pos,-2,  cmd, goto,-2
159.0, elevID,10,  pos,-1,  cmd, goto,-1
160.0, elevID,8,  pos,0,  cmd, goto,0
160.0, elevID,9,  pos,-2,  cmd, goto,-2
160.0, elevID,10,  pos,-1,  cmd, goto,-1
161.0, elevID,8,  pos,0,  cmd, goto,0
161.0, elevID,9,  pos,-2,  cmd, goto,-2
161.0, elevID,10,  pos,-1,  cmd, goto,-1
162.0, elevID,8,  pos,0,  cmd, goto,0
162.0, elevID,9,  pos,-2,  cmd, goto,-2
162.0, elevID,10,  pos,-1,  cmd, goto,-1
163.0, elevID,8,  pos,0,  cmd, goto,0
163.0, elevID,9,  pos,-2,  cmd, goto,-2
163.0, elevID,10,  pos,-1,  cmd, goto,-1
164.0, elevID,8,  pos,0,  cmd, goto,0
164.0, elevID,9,  pos,-2,  cmd, goto,-2
164.0, elevID,10,  pos,-1,  cmd, goto,-1
165.0, elevID,8,  pos,0,  cmd, goto,0
165.0, elevID,9,  pos,-2,  cmd, goto,-2
165.0, elevID,10,  pos,-1,  cmd, goto,-1
